Universidad,Tipo de Gestión,Región,Grupo,Estado,CODIGO_ENTIDAD,TIPO_GESTION,ESTADO_LICENCIAMIENTO,PERIODO_LICENCIAMIENTO,DEPARTAMENTO_LOCAL,PROVINCIA_LOCAL,DISTRITO_LOCAL,LATITUD_UBICACION,LONGITUD_UBICACION
UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.,PRIVADA,AREQUIPA,GRUPO 4,LICENCIA DENEGADA,111,PRIVADO,LICENCIA DENEGADA,0,AREQUIPA,AREQUIPA,YANAHUARA,-16.4029451,-71.5456437
UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.,PRIVADA,LIMA,GRUPO 4,LICENCIA DENEGADA,109,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,SAN BORJA,-12.1108862,-76.9912619
UNIVERSIDAD DE LAMBAYEQUE S.A.C.,PRIVADA,LAMBAYEQUE,GRUPO 4,LICENCIA DENEGADA,107,PRIVADO,LICENCIA DENEGADA,0,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.7745742,-79.8450745
UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.,PRIVADA,LIMA,GRUPO 3,LICENCIA DENEGADA,103,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,LIMA,-12.0739859,-77.0358612
UNIVERSIDAD PERUANA DEL CENTRO,PRIVADA,JUNÍN,GRUPO 3,LICENCIA DENEGADA,102,PRIVADO,EN VERIFICACIÓN PRESENCIAL,0,JUNÍN,HUANCAYO,HUANCAYO,-12.0330464,-75.237332
UNIVERSIDAD PRIVADA JUAN MEJÍA BACA S.A.C.,PRIVADA,LAMBAYEQUE,GRUPO 3,LICENCIA DENEGADA,99,PRIVADO,LICENCIA DENEGADA,0,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.767749946,-79.83256828
UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.,PRIVADA,LORETO,GRUPO 2,LICENCIA DENEGADA,94,PRIVADO,LICENCIA DENEGADA,0,LORETO,MAYNAS,SAN JUAN BAUTISTA,-3.771757644,-73.28343169
UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.,PRIVADA,LIMA,GRUPO 3,LICENCIA DENEGADA,93,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,SANTIAGO DE SURCO,-12.134611,-76.979023
UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C.,PRIVADA,LIMA,GRUPO 2,LICENCIA DENEGADA,92,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,PUEBLO LIBRE,-12.0715043,-77.0510267
UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.,PRIVADA,PUNO,GRUPO 2,LICENCIA DENEGADA,91,PRIVADO,LICENCIA DENEGADA,0,PUNO,PUNO,PUNO,-15.8395008,-70.0295166
